matriz,geracoes,percentual_espalhadores,versao,threads_workers,tempo_medio,speedup,eficiencia
100x100,10,0.01,Sequencial,1,0.01110968899835522,1.0,1.0
100x100,10,0.01,Paralela,2,0.006338859326206148,1.752632205044444,0.876316102522222
100x100,10,0.01,Paralela,4,0.00640313167241402,1.7350399096457747,0.4337599774114437
100x100,10,0.01,Paralela,8,0.006643909320700914,1.6721614432243905,0.20902018040304882
100x100,10,0.01,Distribuida,1,0.055366,0.2006590506512159,0.2006590506512159
100x100,10,0.01,Distribuida,2,0.04824200000000001,0.2302908046589117,0.11514540232945585
100x100,10,0.01,Distribuida,4,0.04481933333333334,0.24787715862994877,0.061969289657487193
100x100,50,0.05,Sequencial,1,0.010297421676417192,1.0,1.0
100x100,50,0.05,Paralela,2,0.0057548706730206805,1.7893402409010466,0.8946701204505233
100x100,50,0.05,Paralela,4,0.006130533671239391,1.679694171606335,0.41992354290158374
100x100,50,0.05,Paralela,8,0.006683091002438839,1.540817216563322,0.19260215207041526
100x100,50,0.05,Distribuida,1,0.05383866666666667,0.19126442599650548,0.19126442599650548
100x100,50,0.05,Distribuida,2,0.04911133333333333,0.20967505822995083,0.10483752911497542
100x100,50,0.05,Distribuida,4,0.045182,0.2279098241870035,0.05697745604675088
100x100,100,0.1,Sequencial,1,0.014773604673488686,1.0,1.0
100x100,100,0.1,Paralela,2,0.010348271995705241,1.427639772091423,0.7138198860457114
100x100,100,0.1,Paralela,4,0.010902392328716815,1.3550791631828483,0.33876979079571207
100x100,100,0.1,Paralela,8,0.011702291007774571,1.2624540496962215,0.1578067562120277
100x100,100,0.1,Distribuida,1,0.10224033333333332,0.14449879212856656,0.14449879212856656
100x100,100,0.1,Distribuida,2,0.09241733333333334,0.15985750876627058,0.07992875438313529
100x100,100,0.1,Distribuida,4,0.08933066666666667,0.16538110846766343,0.04134527711691586
200x200,10,0.01,Sequencial,1,0.04232357532600872,1.0,1.0
200x200,10,0.01,Paralela,2,0.03161481799907051,1.3387258888301383,0.6693629444150692
200x200,10,0.01,Paralela,4,0.0234219166644228,1.80700733985178,0.451751834962945
200x200,10,0.01,Paralela,8,0.024535591995421175,1.7249869224230308,0.21562336530287884
200x200,10,0.01,Distribuida,1,0.09459200000000001,0.44743292589234523,0.44743292589234523
200x200,10,0.01,Distribuida,2,0.06792,0.6231386237633794,0.3115693118816897
200x200,10,0.01,Distribuida,4,0.056339,0.7512305033104727,0.18780762582761817
200x200,50,0.05,Sequencial,1,0.06305257466738112,1.0,1.0
200x200,50,0.05,Paralela,2,0.05102876066424263,1.2356281800032807,0.6178140900016403
200x200,50,0.05,Paralela,4,0.04370453033091811,1.4427011156501441,0.36067527891253603
200x200,50,0.05,Paralela,8,0.04355039765747885,1.447807093824623,0.18097588672807788
200x200,50,0.05,Distribuida,1,0.159471,0.39538583609171024,0.39538583609171024
200x200,50,0.05,Distribuida,2,0.120959,0.5212722878610201,0.26063614393051004
200x200,50,0.05,Distribuida,4,0.10866133333333333,0.5802668965413743,0.14506672413534358
200x200,100,0.1,Sequencial,1,0.05946422534179874,1.0,1.0
200x200,100,0.1,Paralela,2,0.049569141662990056,1.1996218483282044,0.5998109241641022
200x200,100,0.1,Paralela,4,0.04370521899545565,1.3605749315197726,0.34014373287994315
200x200,100,0.1,Paralela,8,0.04205146133123586,1.4140822568187104,0.1767602821023388
200x200,100,0.1,Distribuida,1,0.153447,0.38752289286723585,0.38752289286723585
200x200,100,0.1,Distribuida,2,0.12031733333333332,0.4942282520262978,0.2471141260131489
200x200,100,0.1,Distribuida,4,0.11366233333333335,0.5231656222242965,0.13079140555607413
500x500,10,0.01,Sequencial,1,0.3092435583336434,1.0,1.0
500x500,10,0.01,Paralela,2,0.2953006083262153,1.0472161235510409,0.5236080617755204
500x500,10,0.01,Paralela,4,0.2861968813328228,1.0805273519875267,0.2701318379968817
500x500,10,0.01,Paralela,8,0.1826629359954192,1.6929737642090599,0.21162172052613248
500x500,10,0.01,Distribuida,1,0.39736533333333335,0.7782348695079341,0.7782348695079341
500x500,10,0.01,Distribuida,2,0.22514066666666666,1.373557087274223,0.6867785436371115
500x500,10,0.01,Distribuida,4,0.13013266666666667,2.3763714849997446,0.5940928712499361
500x500,50,0.05,Sequencial,1,0.4471674829934879,1.0,1.0
500x500,50,0.05,Paralela,2,0.43092850400717,1.0376836965652376,0.5188418482826188
500x500,50,0.05,Paralela,4,0.3697617353464011,1.2093395293446774,0.30233488233616934
500x500,50,0.05,Paralela,8,0.3302114639955107,1.354185216899578,0.16927315211244726
500x500,50,0.05,Distribuida,1,0.6017503333333333,0.7431113174735612,0.7431113174735612
500x500,50,0.05,Distribuida,2,0.324619,1.377514818890724,0.688757409445362
500x500,50,0.05,Distribuida,4,0.22125066666666668,2.021089878419144,0.505272469604786
500x500,100,0.1,Sequencial,1,0.5726566643376524,1.0,1.0
500x500,100,0.1,Paralela,2,0.5514465046677893,1.0384627692628876,0.5192313846314438
500x500,100,0.1,Paralela,4,0.5180883130039243,1.1053263506704787,0.27633158766761967
500x500,100,0.1,Paralela,8,0.48664833200746216,1.1767361083421353,0.1470920135427669
500x500,100,0.1,Distribuida,1,0.7773066666666666,0.7367190954290702,0.7367190954290702
500x500,100,0.1,Distribuida,2,0.42281799999999997,1.3543809968772673,0.6771904984386337
500x500,100,0.1,Distribuida,4,0.2844426666666667,2.013258668428737,0.5033146671071842
